,Name
287,Angela Johnson (writer)
288,Catherine Johnson (novelist)
289,George Matthew Johnson
290,Leah Johnson (writer)
291,Maureen Johnson
292,E. K. Johnston
293,Carrie Jones (author)
294,Diana Wynne Jones
295,Graham Joyce
296,Stacey Kade
297,Julie Kagawa
298,Lauren Kate
299,Amie Kaufman
300,Marilyn Kaye
301,Brian Keaney
302,Harold Keith
303,Kody Keplinger
304,Marijane Meaker
305,Alexander Key
306,Mahmona Khan
307,Celine Kiernan
308,Patrice Kindl
309,A. S. King
310,David Klass
311,Annette Curtis Klause
312,TJ Klune
313,Elizabeth Knox
314,Ron Koertge
315,E. L. Konigsburg
316,Alethea Kontis
317,Gordon Korman
318,Jay Kristoff
319,Naomi Kritzer
320,Alice Kuipers
321,Nina LaCour
322,Elizabeth Laird (author)
323,Janet Lambert
324,Derek Landy
325,Lori Lansens
326,Justine Larbalestier
327,Kathryn Lasky
328,Iain Lawrence
329,Michael Lawrence (writer)
330,Patrice Lawrence
331,Ursula K. Le Guin
332,Madeleine L'Engle
333,Mackenzi Lee
334,Tanith Lee
335,Peter Lerangis
336,Billie Letts
337,Gail Carson Levine
338,David Levithan
339,Robert Lipsyte
340,Malinda Lo
341,E. Lockhart
342,Ruth Frances Long
343,Maud Lovelace
344,Lois Lowry
345,Marie Lu
346,Barry Lyga
347,Frances Lynn
348,Sarah J. Maas
349,Carolyn Mackler
350,Tahereh Mafi
351,Kekla Magoon
352,Michelle Magorian
353,Adeline Yen Mah
354,Shelby Mahurin
355,Margaret Mahy
356,Sarra Manning
357,Keith Mansfield (writer)
358,Melina Marchetta
359,Jan Mark
360,Melissa Marr
361,John Marsden (writer)
362,Ann M. Martin
363,Bobbie Ann Mason
364,Syed M. Masood
365,Sue Mayfield
366,Norma Fox Mazer
367,Megan McCafferty
368,Anne McCaffrey
369,Norah McClintock
370,Patricia McCormick (author)
371,Lurlene McDaniel
372,Mindy McGinnis
373,Anthony McGowan
374,Seanan McGuire
375,Sharon E. McKay
376,Robin McKinley
377,Anna-Marie McLemore
378,Lisa McMann
379,Karen M. McManus
380,Richelle Mead
381,Stephen Meader
382,Meg Medina
383,O. R. Melling
384,Milton Meltzer
385,Sandhya Menon
386,Melinda Metz
387,Marissa Meyer
388,Stephenie Meyer
389,Ben Mikaelsen
390,Gloria D. Miklowitz
391,Sarah Mlynowski
392,James Moloney
393,Patrick Moore
394,Perry Moore
395,Kass Morgan
396,Lorin Morgan-Richards
397,Jaclyn Moriarty
398,Jess Mowry
399,Robert Muchamore
400,Brandon Mull
401,Mike Mullin (author)
402,Julie Murphy (author)
403,Walter Dean Myers
404,Lauren Myracle
405,Beverley Naidoo
406,Donna Jo Napoli
407,Phyllis Reynolds Naylor
408,Jandy Nelson
409,Patrick Ness
410,Trung Le Nguyen
411,William Nicholson (writer)
412,Susin Nielsen
413,Jennifer Niven
414,Garth Nix
415,Joan Lowery Nixon
416,Andre Norton
417,Naomi Novik
418,Joyce Carol Oates
419,Tyne O'Connell
420,Leonard Wibberley
421,Scott O'Dell
422,Nnedi Okorafor
423,Daniel José Older
424,Lauren Oliver
